neck_x,neck_y,left_foot_x,left_foot_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,Lt_ELbow_x,Lt_ELbow_y,left_hand_x,left_hand_y
-444.0,396.0,-452.0,-488.0,-526.0,28.0,-344.0,28.0,-484.0,-270.0,-446.0,80.0,-588.0,362.0,-390.0,-313.0,-250.0,188.0,-236.0,18.0,-352.0,-206.0,-318.0,378.0,-622.0,184.0,-586.0,2.0
-444.0,398.0,-451.0,-488.0,-534.0,32.0,-344.0,36.0,-482.0,-254.0,-444.0,96.0,-588.0,370.0,-382.0,-285.0,-254.0,200.0,-238.0,42.0,-352.0,-166.0,-318.0,378.0,-622.0,184.0,-584.0,10.0
-444.0,398.0,-449.0,-488.0,-534.0,32.0,-344.0,36.0,-472.0,-254.0,-444.0,96.0,-588.0,370.0,-377.0,-300.0,-254.0,206.0,-238.0,42.0,-356.0,-156.0,-318.0,378.0,-622.0,184.0,-576.0,16.0
-444.0,398.0,-449.0,-488.0,-524.0,32.0,-344.0,36.0,-472.0,-254.0,-444.0,90.0,-582.0,362.0,-376.0,-328.0,-254.0,206.0,-248.0,42.0,-344.0,-166.0,-324.0,374.0,-630.0,180.0,-570.0,24.0
-444.0,382.0,-447.0,-491.0,-524.0,32.0,-340.0,32.0,-472.0,-254.0,-434.0,82.0,-580.0,350.0,-380.0,-353.0,-252.0,194.0,-240.0,30.0,-352.0,-178.0,-316.0,362.0,-628.0,170.0,-560.0,16.0
-436.0,380.0,-451.0,-486.0,-518.0,26.0,-336.0,16.0,-472.0,-254.0,-434.0,82.0,-568.0,342.0,-392.0,-364.0,-252.0,190.0,-240.0,30.0,-352.0,-188.0,-312.0,354.0,-624.0,162.0,-554.0,24.0
-428.0,370.0,-451.0,-477.0,-516.0,22.0,-336.0,20.0,-472.0,-254.0,-432.0,74.0,-558.0,342.0,-392.0,-377.0,-250.0,174.0,-240.0,24.0,-354.0,-196.0,-304.0,346.0,-614.0,166.0,-552.0,4.0
-416.0,378.0,-451.0,-467.0,-500.0,34.0,-338.0,26.0,-468.0,-242.0,-428.0,78.0,-556.0,350.0,-392.0,-377.0,-250.0,170.0,-238.0,14.0,-356.0,-202.0,-296.0,350.0,-610.0,168.0,-552.0,12.0
-416.0,390.0,-453.0,-439.0,-502.0,42.0,-336.0,40.0,-468.0,-232.0,-422.0,102.0,-544.0,362.0,-389.0,-377.0,-250.0,170.0,-238.0,14.0,-356.0,-202.0,-296.0,358.0,-596.0,190.0,-566.0,14.0
-408.0,402.0,-454.0,-395.0,-502.0,50.0,-336.0,48.0,-480.0,-218.0,-420.0,110.0,-544.0,382.0,-389.0,-378.0,-238.0,186.0,-238.0,32.0,-352.0,-196.0,-292.0,368.0,-588.0,206.0,-568.0,32.0
-408.0,410.0,-457.0,-332.0,-502.0,54.0,-334.0,64.0,-476.0,-186.0,-420.0,122.0,-540.0,392.0,-389.0,-378.0,-238.0,186.0,-238.0,44.0,-352.0,-196.0,-288.0,382.0,-586.0,214.0,-568.0,50.0
-402.0,420.0,-454.0,-271.0,-510.0,82.0,-334.0,88.0,-484.0,-152.0,-418.0,136.0,-538.0,410.0,-389.0,-378.0,-232.0,198.0,-238.0,60.0,-352.0,-192.0,-286.0,394.0,-584.0,254.0,-574.0,72.0
-400.0,434.0,-458.0,-216.0,-510.0,90.0,-336.0,104.0,-484.0,-130.0,-418.0,142.0,-532.0,422.0,-390.0,-379.0,-226.0,210.0,-238.0,60.0,-356.0,-184.0,-286.0,398.0,-584.0,258.0,-580.0,86.0
-398.0,442.0,-461.0,-188.0,-510.0,100.0,-336.0,104.0,-484.0,-94.0,-418.0,158.0,-532.0,422.0,-393.0,-379.0,-220.0,220.0,-238.0,76.0,-356.0,-180.0,-286.0,410.0,-580.0,278.0,-580.0,96.0
-398.0,442.0,-458.0,-200.0,-516.0,112.0,-346.0,100.0,-484.0,-88.0,-418.0,158.0,-532.0,422.0,-393.0,-379.0,-220.0,220.0,-248.0,82.0,-362.0,-178.0,-286.0,410.0,-580.0,286.0,-582.0,104.0
